Project;Model;Net;Timestamp;Product;Product Name;Product Arrow;Product Flow Amount;LCI Method;Phase;Process;Material Type;Material;Quantity;Unit
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1-difluoro-, HFC-152a [air/urban air close to ground];0,16687717580625;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114 [air/non-urban air or from high stacks];7,4381254720971;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124 [air/unspecified];0,00521283605602289;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, hexafluoro-, HFC-116 [air/unspecified];8,23640155665416;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, hexafluoro-, HFC-116 [air/urban air close to ground];13,8501160777071;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Hydrocarbons, chlorinated [air/non-urban air or from high stacks];0,00367118681696852;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Hydrocarbons, chlorinated [air/unspecified];0,00920798270777035;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Hydrocarbons, chlorinated [air/urban air close to ground];0,404253376887937;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, bromo-, Halon 1001 [air/unspecified];1,82124102796184E-08;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, bromo-, Halon 1001 [air/urban air close to ground];5,87630272209627E-07;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, bromochlorodifluoro-, Halon 1211 [air/non-urban air or from high stacks];1,42622662899415;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, bromotrifluoro-, Halon 1301 [air/non-urban air or from high stacks];9,36216850868363;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, bromotrifluoro-, Halon 1301 [air/urban air close to ground];0,000399308481724629;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, chlorodifluoro-, HCFC-22 [air/non-urban air or from high stacks];5,86834733889209;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, chlorodifluoro-, HCFC-22 [air/unspecified];7,72345547184446E-07;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, chlorodifluoro-, HCFC-22 [air/urban air close to ground];0,340729097803074;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichloro-, HCC-30 [air/non-urban air or from high stacks];0,00431098567457982;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichloro-, HCC-30 [air/unspecified];0,000340673128110662;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichloro-, HCC-30 [air/urban air close to ground];0,000483014274346768;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichloro-, HCC-30 [water/surface water];0,150821451860301;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichlorodifluoro-, CFC-12 [air/non-urban air or from high stacks];0,0110203241412786;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichlorodifluoro-, CFC-12 [air/unspecified];2,63971665081667E-05;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichlorodifluoro-, CFC-12 [air/urban air close to ground];7,29709625450863;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, dichlorofluoro-, HCFC-21 [air/urban air close to ground];6,95363289110492E-05;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, fossil [air/lower stratosphere + upper troposphere];3,05383228044082E-06;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, fossil [air/non-urban air or from high stacks];7595,53315238476;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, fossil [air/unspecified];2063,3582872235;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, fossil [air/urban air close to ground];32583,5480085743;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, monochloro-, R-40 [air/non-urban air or from high stacks];0,0117747883213113;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, monochloro-, R-40 [air/unspecified];9,10397386171698E-05;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, non-fossil [air/non-urban air or from high stacks];119,425506606442;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, non-fossil [air/unspecified];2,39655860440559;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, non-fossil [air/urban air close to ground];77,8289964417059;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, tetrachloro-, R-10 [air/unspecified];0,00151606010632542;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, tetrachloro-, R-10 [air/urban air close to ground];0,544656110713106;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, tetrafluoro-, R-14 [air/unspecified];68,1369305343673;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, tetrafluoro-, R-14 [air/urban air close to ground];0,00950529354513635;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, trichlorofluoro-, CFC-11 [air/urban air close to ground];0,00241317196154743;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Methane, trifluoro-, HFC-23 [air/urban air close to ground];2,16856214373053;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Nitrogen fluoride [air/urban air close to ground];6,35133359375919E-05;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Sulfur hexafluoride [air/non-urban air or from high stacks];0,125304285925028;kg CO2-Eq
